English language name                                                            | ISO 639-3 code | ISO 639-2 code | ISO 639-1 code
Meskwaki                                                                         | sac            |                |               
Mesme                                                                            | zim            |                |               
Mesopotamian Arabic                                                              | acm            |                |               
Mesqan                                                                           | mvz            |                |               
Meta'                                                                            | mgo            |                |               
Metlatónoc Mixtec                                                                | mxv            |                |               
Mewari                                                                           | mtr            |                |               
Mewati                                                                           | wtm            |                |               
Mexican Sign Language                                                            | mfs            |                |               
Meyah                                                                            | mej            |                |               
Mezontla Popoloca                                                                | pbe            |                |               
Mezquital Otomi                                                                  | ote            |                |               
Mfinu                                                                            | zmf            |                |               
Mfumte                                                                           | nfu            |                |               
Mgbolizhia                                                                       | gmz            |                |               
Mi'kmaq; Micmac                                                                  | mic            | mic            |               
Miahuatlán Zapotec                                                               | zam            |                |               
Miami                                                                            | mia            |                |               
Mian                                                                             | mpt            |                |               
Miani                                                                            | pla            |                |               
Michif                                                                           | crg            |                |               
Michoacán Mazahua                                                                | mmc            |                |               
Michoacán Nahuatl                                                                | ncl            |                |               
Mid Grand Valley Dani                                                            | dnt            |                |               
Mid-Southern Banda                                                               | bjo            |                |               
Middle Watut                                                                     | mpl            |                |               
Midob                                                                            | mei            |                |               
Migaama                                                                          | mmy            |                |               
Migabac                                                                          | mpp            |                |               
Migum                                                                            | klm            |                |               
Miju-Mishmi                                                                      | mxj            |                |               
Mikasuki                                                                         | mik            |                |               
Mili                                                                             | ymh            |                |               
Miltu                                                                            | mlj            |                |               
Min Bei Chinese                                                                  | mnp            |                |               
Min Dong Chinese                                                                 | cdo            |                |               
Min Nan Chinese                                                                  | nan            |                |               
Min Zhong Chinese                                                                | czo            |                |               
Mina (Cameroon)                                                                  | hna            |                |               
Mina (India)                                                                     | myi            |                |               
Minangkabau                                                                      | min            | min            |               
Minanibai                                                                        | mcv            |                |               
Minaveha                                                                         | mvn            |                |               
Minderico                                                                        | drc            |                |               
Mindiri                                                                          | mpn            |                |               
Mingang Doso                                                                     | mko            |                |               
Mingrelian                                                                       | xmf            |                |               
Minica Huitoto                                                                   | hto            |                |               
Minidien                                                                         | wii            |                |               
Minokok                                                                          | mqq            |                |               
Minriq                                                                           | mnq            |                |               
Mintil                                                                           | mzt            |                |               
Minz Zhuang                                                                      | zgm            |                |               
Miqie                                                                            | yiq            |                |               
Mirandese                                                                        | mwl            | mwl            |               
Miraya Bikol                                                                     | rbl            |                |               
Mirgan                                                                           | zrg            |                |               
Miriwoong Sign Language                                                          | rsm            |                |               
Miriwung                                                                         | mep            |                |               
Miship                                                                           | mjs            |                |               
Misima-Panaeati                                                                  | mpx            |                |               
Mising                                                                           | mrg            |                |               
Mitla Zapotec                                                                    | zaw            |                |               
Mitlatongo Mixtec                                                                | vmm            |                |               
Mituku                                                                           | zmq            |                |               
Miu                                                                              | mpo            |                |               
Mixed Great Andamanese                                                           | gac            |                |               
Mixtepec Mixtec                                                                  | mix            |                |               
Mixtepec Zapotec                                                                 | zpm            |                |               
Miya                                                                             | mkf            |                |               
Miyako                                                                           | mvi            |                |               
Miyobe                                                                           | soy            |                |               
Mlabri                                                                           | mra            |                |               
Mlap                                                                             | kja            |                |               
Mlomp                                                                            | mlo            |                |               
Mmaala                                                                           | mmu            |                |               
Mmen                                                                             | bfm            |                |               
Mo'da                                                                            | gbn            |                |               
Moba                                                                             | mfq            |                |               
Mobumrin Aizi                                                                    | ahm            |                |               
Mobwa Karen                                                                      | jkm            |                |               
Mochi                                                                            | old            |                |               
Mocho                                                                            | mhc            |                |               
Mocoví                                                                           | moc            |                |               
Modang                                                                           | mxd            |                |               
Modole                                                                           | mqo            |                |               
Moere                                                                            | mvq            |                |               
Mofu-Gudur                                                                       | mif            |                |               
Mogholi                                                                          | mhj            |                |               
Mogofin                                                                          | mfg            |                |               
Mogum                                                                            | mou            |                |               
Mohave                                                                           | mov            |                |               
Mohawk                                                                           | moh            | moh            |               
Moi (Congo)                                                                      | mow            |                |               
Moi (Indonesia)                                                                  | mxn            |                |               
Moikodi                                                                          | mkp            |                |               
Moingi                                                                           | mwz            |                |               
Moji                                                                             | ymi            |                |               
Mok                                                                              | mqt            |                |               
Moken                                                                            | mwt            |                |               
Mokerang                                                                         | mft            |                |               
Mokilese                                                                         | mkj            |                |               
Moklen                                                                           | mkm            |                |               
Mokole                                                                           | mkl            |                |               
Mokpwe                                                                           | bri            |                |               
Moksha                                                                           | mdf            | mdf            |               
Molbog                                                                           | pwm            |                |               
Moldova Sign Language                                                            | vsi            |                |               
Molengue                                                                         | bxc            |                |               
Molima                                                                           | mox            |                |               
Molmo One                                                                        | aun            |                |               
Molo                                                                             | zmo            |                |               
Molof                                                                            | msl            |                |               
Moloko                                                                           | mlw            |                |               
Mom Jango                                                                        | ver            |                |               
Moma                                                                             | myl            |                |               
Momare                                                                           | msz            |                |               
Mombo Dogon                                                                      | dmb            |                |               
Mombum                                                                           | mso            |                |               
Momina                                                                           | mmb            |                |               
Momuna                                                                           | mqf            |                |               
Mon                                                                              | mnw            |                |               
Mon-Khmer languages                                                              | mkh            | mkh            |               
Monastic Sign Language                                                           | mzg            |                |               
Mondropolon                                                                      | npn            |                |               
Mondé                                                                            | mnd            |                |               
Mongo                                                                            | lol            | lol            |               
Mongol                                                                           | mgt            |                |               
Mongolia Buriat                                                                  | bxm            |                |               
Mongolian Sign Language                                                          | msr            |                |               
Mongolian                                                                        | mon            | mon            | mn            
Mongondow                                                                        | mog            |                |               
Moni                                                                             | mnz            |                |               
Mono (Cameroon)                                                                  | mru            |                |               
Mono (Democratic Republic of Congo)                                              | mnh            |                |               
Mono (Solomon Islands)                                                           | mte            |                |               
Mono (USA)                                                                       | mnr            |                |               
Monom                                                                            | moo            |                |               
Monsang Naga                                                                     | nmh            |                |               
Montagnais                                                                       | moe            |                |               
Montol                                                                           | mtl            |                |               
Monumbo                                                                          | mxk            |                |               
Monzombo                                                                         | moj            |                |               
Moo                                                                              | gwg            |                |               
Moose Cree                                                                       | crm            |                |               
Mopán Maya                                                                       | mop            |                |               
Mor (Bomberai Peninsula)                                                         | moq            |                |               
Mor (Mor Islands)                                                                | mhz            |                |               
Moraid                                                                           | msg            |                |               
Morawa                                                                           | mze            |                |               
Morelos Nahuatl                                                                  | nhm            |                |               
Morerebi                                                                         | xmo            |                |               
Moresada                                                                         | msx            |                |               
Mori Atas                                                                        | mzq            |                |               
Mori Bawah                                                                       | xmz            |                |               
Morigi                                                                           | mdb            |                |               
Morisyen                                                                         | mfe            |                |               
Moro                                                                             | mor            |                |               
Moroccan Arabic                                                                  | ary            |                |               
Moroccan Sign Language                                                           | xms            |                |               
Morokodo                                                                         | mgc            |                |               
Morom                                                                            | bdo            |                |               
Moronene                                                                         | mqn            |                |               
Morori                                                                           | mok            |                |               
Morouas                                                                          | mrp            |                |               
Mortlockese                                                                      | mrl            |                |               
Moru                                                                             | mgd            |                |               
Mosimo                                                                           | mqv            |                |               
Mosiro                                                                           | mwy            |                |               
Moskona                                                                          | mtj            |                |               
Mossi                                                                            | mos            | mos            |               
Mota                                                                             | mtt            |                |               
Motlav                                                                           | mlv            |                |               
Motu                                                                             | meu            |                |               
Mouk-Aria                                                                        | mwh            |                |               
Mountain Koiali                                                                  | kpx            |                |               
Mouwase                                                                          | jmw            |                |               
Movima                                                                           | mzp            |                |               
Moyadan Itneg                                                                    | ity            |                |               
Moyon Naga                                                                       | nmo            |                |               
Mozambican Sign Language                                                         | mzy            |                |               
Mpade                                                                            | mpi            |                |               
Mpi                                                                              | mpz            |                |               
Mpiemo                                                                           | mcx            |                |               
Mpoto                                                                            | mpa            |                |               
Mpotovoro                                                                        | mvt            |                |               
Mpumpong                                                                         | mgg            |                |               
Mpuono                                                                           | zmp            |                |               
Mpur                                                                             | akc            |                |               
Mro-Khimi Chin                                                                   | cmr            |                |               
Mru                                                                              | mro            |                |               
Mser                                                                             | kqx            |                |               
Mt. Iraya Agta                                                                   | atl            |                |               
Mt. Iriga Agta                                                                   | agz            |                |               
Mualang                                                                          | mtd            |                |               
Mubami                                                                           | tsx            |                |               
Mubi                                                                             | mub            |                |               
Muda                                                                             | ymd            |                |               
Mudburra                                                                         | dmw            |                |               
Mudhili Gadaba                                                                   | gau            |                |               
Mudu Koraga                                                                      | vmd            |                |               
Muduga                                                                           | udg            |                |               
Mufian                                                                           | aoj            |                |               
Mugom                                                                            | muk            |                |               
Muinane                                                                          | bmr            |                |               
Mukha-Dora                                                                       | mmk            |                |               
Mukulu                                                                           | moz            |                |               
Mulam                                                                            | mlm            |                |               
Mulao                                                                            | giu            |                |               
Mulgi                                                                            | mvh            |                |               
Mullu Kurumba                                                                    | kpb            |                |               
Mullukmulluk                                                                     | mpb            |                |               
Multiple languages                                                               | mul            | mul            |               
Mum                                                                              | kqa            |                |               
Mumuye                                                                           | mzm            |                |               
Muna                                                                             | mnb            |                |               
Munda languages                                                                  | mun            | mun            |               
Munda                                                                            | unx            |                |               
Mundabli                                                                         | boe            |                |               
Mundang                                                                          | mua            |                |               
Mundani                                                                          | mnf            |                |               
Mundari                                                                          | unr            |                |               
Mundat                                                                           | mmf            |                |               
Mundurukú                                                                        | myu            |                |               
Mungaka                                                                          | mhk            |                |               
Munggui                                                                          | mth            |                |               
Mungkip                                                                          | mpv            |                |               
Muniche                                                                          | myr            |                |               
Munit                                                                            | mtc            |                |               
Munji                                                                            | mnj            |                |               
Munsee                                                                           | umu            |                |               
Muong                                                                            | mtq            |                |               
Mur Pano                                                                         | tkv            |                |               
Muratayak                                                                        | asx            |                |               
Murik (Malaysia)                                                                 | mxr            |                |               
Murik (Papua New Guinea)                                                         | mtf            |                |               
Murkim                                                                           | rmh            |                |               
Murle                                                                            | mur            |                |               
Murrinh-Patha                                                                    | mwf            |                |               
Mursi                                                                            | muz            |                |               
Murui Huitoto                                                                    | huu            |                |               
Murupi                                                                           | mqw            |                |               
Musak                                                                            | mmq            |                |               
Musar                                                                            | mmi            |                |               
Musasa                                                                           | smm            |                |               
Musey                                                                            | mse            |                |               
Musgu                                                                            | mug            |                |               
Mushungulu                                                                       | xma            |                |               
Musi                                                                             | mui            |                |               
Muslim Tat                                                                       | ttt            |                |               
Musom                                                                            | msu            |                |               
Mussau-Emira                                                                     | emi            |                |               
Muthuvan                                                                         | muv            |                |               
Mutu                                                                             | tuc            |                |               
Muya                                                                             | mvm            |                |               
Muyang                                                                           | muy            |                |               
Muyuw                                                                            | myw            |                |               
Muzi                                                                             | ymz            |                |               
Mvanip                                                                           | mcj            |                |               
Mvuba                                                                            | mxh            |                |               
Mwaghavul                                                                        | sur            |                |               
Mwali Comorian                                                                   | wlc            |                |               
Mwan                                                                             | moa            |                |               
Mwani                                                                            | wmw            |                |               
Mwatebu                                                                          | mwa            |                |               
Mwera (Chimwera)                                                                 | mwe            |                |               
Mwera (Nyasa)                                                                    | mjh            |                |               
Mwimbi-Muthambi                                                                  | mws            |                |               
Myene                                                                            | mye            |                |               
Mzieme Naga                                                                      | nme            |                |               
Mághdì                                                                           | gmd            |                |               
Ménik                                                                            | tnr            |                |               
Mískito                                                                          | miq            |                |               
Mócheno                                                                          | mhn            |                |               
Mün Chin                                                                         | mwq            |                |               
Mündü                                                                            | muh            |                |               
N'Ko                                                                             | nqo            | nqo            |               
N/u                                                                              | ngh            |                |               
Na                                                                               | nbt            |                |               
Naaba                                                                            | nao            |                |               
Naami                                                                            | bzv            |                |               
Naasioi                                                                          | nas            |                |               
Naba                                                                             | mne            |                |               
Nabak                                                                            | naf            |                |               
Nabi                                                                             | mty            |                |               
Nachering                                                                        | ncd            |                |               
Nadëb                                                                            | mbj            |                |               
Nafaanra                                                                         | nfr            |                |               
Nafi                                                                             | srf            |                |               
Nafri                                                                            | nxx            |                |               
Nafusi                                                                           | jbn            |                |               
Naga Pidgin                                                                      | nag            |                |               
Nagarchal                                                                        | nbg            |                |               
Nage                                                                             | nxe            |                |               
Nahali                                                                           | nlx            |                |               
Nahari                                                                           | nhh            |                |               
Nahuatl languages                                                                | nah            | nah            |               
Nai                                                                              | bio            |                |               
Najdi Arabic                                                                     | ars            |                |               
Naka'ela                                                                         | nae            |                |               
Nakai                                                                            | nkj            |                |               
Nakame                                                                           | nib            |                |               
Nakanai                                                                          | nak            |                |               
Nakara                                                                           | nck            |                |               
Nake                                                                             | nbk            |                |               
Naki                                                                             | mff            |                |               
Nakwi                                                                            | nax            |                |               
Nalca                                                                            | nlc            |                |               
Nali                                                                             | nss            |                |               
Nalik                                                                            | nal            |                |               
Nalu                                                                             | naj            |                |               
Naluo Yi                                                                         | ylo            |                |               
Nalögo                                                                           | nlz            |                |               
Nama (Papua New Guinea)                                                          | nmx            |                |               
Namakura                                                                         | nmk            |                |               
Namat                                                                            | nkm            |                |               
Nambo                                                                            | ncm            |                |               
Nambya                                                                           | nmq            |                |               
Namia                                                                            | nnm            |                |               
Namiae                                                                           | nvm            |                |               
Namibian Sign Language                                                           | nbs            |                |               
Namla                                                                            | naa            |                |               
Namo                                                                             | mxw            |                |               
Namonuito                                                                        | nmt            |                |               
Namosi-Naitasiri-Serua                                                           | bwb            |                |               
Namuyi                                                                           | nmy            |                |               
Nanai                                                                            | gld            |                |               
Nancere                                                                          | nnc            |                |               
Nande                                                                            | nnb            |                |               
Nandi                                                                            | niq            |                |               
Nanerigé Sénoufo                                                                 | sen            |                |               
Nanga Dama Dogon                                                                 | nzz            |                |               
Nankina                                                                          | nnk            |                |               
Nanti                                                                            | cox            |                |               
Nanubae                                                                          | afk            |                |               
Napo Lowland Quechua                                                             | qvo            |                |               
Napu                                                                             | npy            |                |               
Nar Phu                                                                          | npa            |                |               
Nara                                                                             | nrb            |                |               
